timestamp,Ticker,Action,Confidence,AI_Prob_Outperform_%,ThesisLiteScore,RS_1w_vs_SPY_%,RS_4w_vs_SPY_%,WeeklyVol_%,AvgVol_20d,LastPrice,JanScore,LaborExposure,EarningsDate,DaysToEarnings,EarningsRisk,SplitRisk,Why
2025-12-17 16:06:45,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,,,0,0,RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Volatility: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | ThesisLiteScore: 1.80/10
2025-12-17 16:10:53,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,,,0,0,RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Volatility: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | ThesisLiteScore: 1.80/10
2025-12-17 16:23:09,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,,0,RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Volatility: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | ThesisLiteScore: 1.80/10
2025-12-17 16:32:47,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,0,0,0,Regime: RISK-ON | NewsTone: n/a | RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Vol: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | Score: 1.80/10
2025-12-17 16:35:21,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,0,0,0,Regime: RISK-ON | NewsTone: n/a | RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Vol: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | Score: 1.80/10
2025-12-17 16:35:45,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,0,0,0,Regime: RISK-ON | NewsTone: n/a | RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Vol: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | Score: 1.80/10
2025-12-17 16:35:47,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,0,0,0,Regime: RISK-ON | NewsTone: n/a | RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Vol: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | Score: 1.80/10
2025-12-17 16:35:48,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,0,0,0,Regime: RISK-ON | NewsTone: n/a | RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Vol: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | Score: 1.80/10
2025-12-17 16:50:14,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,0,0,0,Regime: RISK-ON | NewsTone: n/a | RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Vol: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | Score: 1.80/10
2025-12-17 16:53:53,ADP,WATCH,Low,51.9,6.46,-1.05,0.56,2.32,2394253,262.17,-2,3.0,RS 4w vs SPY: +0.56% | RS 1w vs SPY: -1.05% | Trend: above MA20 ✅ | Volatility: 2.3% | Labor exposure: 3.0/10 | AI: 51.9% chance to beat SPY next week | ThesisLiteScore: 6.46/10
2025-12-17 16:53:53,DG,WATCH,Low,51.5,7.75,1.4,29.25,8.87,4709462,134.51,-2,6.0,RS 4w vs SPY: +29.25% | RS 1w vs SPY: +1.40% | Trend: above MA20 ✅ | Volatility: 8.9% | Labor exposure: 6.0/10 | AI: 51.5% chance to beat SPY next week | ThesisLiteScore: 7.75/10
2025-12-17 16:53:53,DHI,WATCH,Low,50.8,5.37,-0.43,2.72,6.09,3129891,155.12,0,9.0,RS 4w vs SPY: +2.72% | RS 1w vs SPY: -0.43% | Trend: above MA20 ✅ | Volatility: 6.1% | Labor exposure: 9.0/10 | AI: 50.8% chance to beat SPY next week | ThesisLiteScore: 5.37/10
2025-12-17 16:53:53,FDX,WATCH,Low,48.8,5.74,-0.24,1.83,2.78,1396829,282.46,-2,7.0,RS 4w vs SPY: +1.83% | RS 1w vs SPY: -0.24% | Trend: above MA20 ✅ | Volatility: 2.8% | Labor exposure: 7.0/10 | AI: 48.8% chance to beat SPY next week | ThesisLiteScore: 5.74/10
2025-12-17 16:53:53,HD,WATCH,Low,52.4,2.14,-1.51,-0.28,4.88,5427307,352.68,0,7.0,RS 4w vs SPY: -0.28% | RS 1w vs SPY: -1.51% | Trend: above MA20 ✅ | Volatility: 4.9% | Labor exposure: 7.0/10 | AI: 52.4% chance to beat SPY next week | ThesisLiteScore: 2.14/10
2025-12-17 16:53:53,LEN,WATCH,Low,49.8,2.76,0.05,-3.39,2.62,10117,2.64,0,8.0,RS 4w vs SPY: -3.39% | RS 1w vs SPY: +0.05% | Trend: below MA20 ⚠️ | Volatility: 2.6% | Labor exposure: 8.0/10 | AI: 49.8% chance to beat SPY next week | ThesisLiteScore: 2.76/10
2025-12-17 16:53:53,MCD,WATCH,Low,51.5,0.8,-2.53,-14.57,8.28,746,0.83,0,7.0,RS 4w vs SPY: -14.57% | RS 1w vs SPY: -2.53% | Trend: below MA20 ⚠️ | Volatility: 8.3% | Labor exposure: 7.0/10 | AI: 51.5% chance to beat SPY next week | ThesisLiteScore: 0.80/10
2025-12-17 16:53:53,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Volatility: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | ThesisLiteScore: 1.80/10
2025-12-17 16:53:53,ROK,WATCH,Low,50.9,6.46,-0.59,2.89,3.04,995935,401.08,-2,3.0,RS 4w vs SPY: +2.89% | RS 1w vs SPY: -0.59% | Trend: above MA20 ✅ | Volatility: 3.0% | Labor exposure: 3.0/10 | AI: 50.9% chance to beat SPY next week | ThesisLiteScore: 6.46/10
2025-12-17 16:53:53,TER,WATCH,Low,52.2,6.37,-0.13,18.0,7.49,3225912,192.29,-2,3.0,RS 4w vs SPY: +18.00% | RS 1w vs SPY: -0.13% | Trend: above MA20 ✅ | Volatility: 7.5% | Labor exposure: 3.0/10 | AI: 52.2% chance to beat SPY next week | ThesisLiteScore: 6.37/10
2025-12-17 16:53:53,TJX,WATCH,Low,49.9,2.32,-0.25,-0.59,2.44,6201698,155.09,-1,6.0,RS 4w vs SPY: -0.59% | RS 1w vs SPY: -0.25% | Trend: above MA20 ✅ | Volatility: 2.4% | Labor exposure: 6.0/10 | AI: 49.9% chance to beat SPY next week | ThesisLiteScore: 2.32/10
2025-12-17 16:53:53,TSLA,WATCH,Low,50.3,8.1,7.75,22.94,5.13,73383178,492.56,0,5.0,RS 4w vs SPY: +22.94% | RS 1w vs SPY: +7.75% | Trend: above MA20 ✅ | Volatility: 5.1% | Labor exposure: 5.0/10 | AI: 50.3% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 16:53:53,WMT,WATCH,Low,51.4,5.92,-0.67,6.58,4.26,23975231,115.42,0,6.0,RS 4w vs SPY: +6.58% | RS 1w vs SPY: -0.67% | Trend: above MA20 ✅ | Volatility: 4.3% | Labor exposure: 6.0/10 | AI: 51.4% chance to beat SPY next week | ThesisLiteScore: 5.92/10
2025-12-17 17:00:35,ADP,WATCH,Low,51.9,6.46,-1.05,0.56,2.32,2394253,262.17,-2,3.0,RS 4w vs SPY: +0.56% | RS 1w vs SPY: -1.05% | Trend: above MA20 ✅ | Volatility: 2.3% | Labor exposure: 3.0/10 | AI: 51.9% chance to beat SPY next week | ThesisLiteScore: 6.46/10
2025-12-17 17:00:35,DG,WATCH,Low,51.5,7.75,1.4,29.25,8.87,4709462,134.51,-2,6.0,RS 4w vs SPY: +29.25% | RS 1w vs SPY: +1.40% | Trend: above MA20 ✅ | Volatility: 8.9% | Labor exposure: 6.0/10 | AI: 51.5% chance to beat SPY next week | ThesisLiteScore: 7.75/10
2025-12-17 17:00:35,DHI,WATCH,Low,50.8,5.37,-0.43,2.72,6.09,3129891,155.12,0,9.0,RS 4w vs SPY: +2.72% | RS 1w vs SPY: -0.43% | Trend: above MA20 ✅ | Volatility: 6.1% | Labor exposure: 9.0/10 | AI: 50.8% chance to beat SPY next week | ThesisLiteScore: 5.37/10
2025-12-17 17:00:35,FDX,WATCH,Low,48.8,5.74,-0.24,1.83,2.78,1396829,282.46,-2,7.0,RS 4w vs SPY: +1.83% | RS 1w vs SPY: -0.24% | Trend: above MA20 ✅ | Volatility: 2.8% | Labor exposure: 7.0/10 | AI: 48.8% chance to beat SPY next week | ThesisLiteScore: 5.74/10
2025-12-17 17:00:35,HD,WATCH,Low,52.4,2.14,-1.51,-0.28,4.88,5427307,352.68,0,7.0,RS 4w vs SPY: -0.28% | RS 1w vs SPY: -1.51% | Trend: above MA20 ✅ | Volatility: 4.9% | Labor exposure: 7.0/10 | AI: 52.4% chance to beat SPY next week | ThesisLiteScore: 2.14/10
2025-12-17 17:00:35,LEN,WATCH,Low,49.8,2.76,0.05,-3.39,2.62,10117,2.64,0,8.0,RS 4w vs SPY: -3.39% | RS 1w vs SPY: +0.05% | Trend: below MA20 ⚠️ | Volatility: 2.6% | Labor exposure: 8.0/10 | AI: 49.8% chance to beat SPY next week | ThesisLiteScore: 2.76/10
2025-12-17 17:00:35,MCD,WATCH,Low,51.5,0.8,-2.53,-14.57,8.28,746,0.83,0,7.0,RS 4w vs SPY: -14.57% | RS 1w vs SPY: -2.53% | Trend: below MA20 ⚠️ | Volatility: 8.3% | Labor exposure: 7.0/10 | AI: 51.5% chance to beat SPY next week | ThesisLiteScore: 0.80/10
2025-12-17 17:00:35,NOW,WATCH,Low,58.1,1.8,-9.28,-6.98,6.62,1755111,781.12,2,2.0,RS 4w vs SPY: -6.98% | RS 1w vs SPY: -9.28% | Trend: below MA20 ⚠️ | Volatility: 6.6% | Labor exposure: 2.0/10 | AI: 58.1% chance to beat SPY next week | ThesisLiteScore: 1.80/10
2025-12-17 17:00:35,ROK,WATCH,Low,50.9,6.46,-0.59,2.89,3.04,995935,401.08,-2,3.0,RS 4w vs SPY: +2.89% | RS 1w vs SPY: -0.59% | Trend: above MA20 ✅ | Volatility: 3.0% | Labor exposure: 3.0/10 | AI: 50.9% chance to beat SPY next week | ThesisLiteScore: 6.46/10
2025-12-17 17:00:35,TER,WATCH,Low,52.2,6.37,-0.13,18.0,7.49,3225912,192.29,-2,3.0,RS 4w vs SPY: +18.00% | RS 1w vs SPY: -0.13% | Trend: above MA20 ✅ | Volatility: 7.5% | Labor exposure: 3.0/10 | AI: 52.2% chance to beat SPY next week | ThesisLiteScore: 6.37/10
2025-12-17 17:00:35,TJX,WATCH,Low,49.9,2.32,-0.25,-0.59,2.44,6201698,155.09,-1,6.0,RS 4w vs SPY: -0.59% | RS 1w vs SPY: -0.25% | Trend: above MA20 ✅ | Volatility: 2.4% | Labor exposure: 6.0/10 | AI: 49.9% chance to beat SPY next week | ThesisLiteScore: 2.32/10
